               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11228,             0.01635,                   0,              0.2498,               0.008,           0.0022777,           0.0003503,            0.096035,            0.013437,                   0,           0.0033058,           0.0033058,            0.070248
                   1,            0.090609,            0.015963,                   0,             0.36543,               0.208,              0.1965,            0.061511,            0.090382,           0.0098761,                   0,           0.0066172,           0.0066172,            0.040226
                   2,            0.079494,            0.015491,                   0,             0.54579,             0.36531,              0.3244,            0.083828,            0.067555,             0.01013,                   0,           0.0099066,           0.0099066,            0.010182
                   3,            0.068069,             0.01558,                   0,             0.39692,               0.448,             0.31384,            0.079723,            0.058597,            0.010202,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.060399,            0.015185,                   0,             0.74939,             0.55024,              0.5806,             0.21538,             0.05473,           0.0092886,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.055754,            0.014376,                   0,             0.63797,               0.608,             0.61008,             0.25446,            0.052662,           0.0087031,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.053517,            0.013464,                   0,             0.82023,               0.552,             0.64956,             0.25892,            0.046286,           0.0080893,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.048106,            0.012262,                   0,             0.81806,             0.64747,             0.72772,             0.28743,            0.046653,           0.0071191,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.048551,             0.01024,                   0,             0.74996,             0.64785,             0.67041,             0.27273,            0.048159,           0.0066451,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.045063,            0.010334,                   0,             0.80172,               0.712,             0.76602,             0.34165,            0.043402,           0.0062824,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.047193,           0.0097657,                   0,             0.79968,               0.768,             0.80714,             0.42533,            0.038521,           0.0061584,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.041815,            0.009547,                   0,             0.83896,             0.79189,             0.81544,             0.36387,            0.044032,           0.0055946,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.041344,           0.0088873,                   0,             0.83253,                 0.8,             0.81021,             0.40872,             0.03935,           0.0055202,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.043327,           0.0090736,                   0,             0.88689,                0.76,             0.82398,             0.37675,            0.037715,           0.0056231,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.040259,           0.0081774,                   0,             0.94147,               0.776,             0.82968,             0.44341,            0.037829,           0.0053887,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.038576,           0.0087067,                   0,             0.84478,             0.78369,             0.82812,             0.39796,            0.039976,            0.005217,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.039604,           0.0084943,                   0,             0.81206,               0.832,             0.82795,             0.41647,            0.037762,           0.0051533,                   0,            0.009505,            0.009505,            0.009505
